,title,type,date,abstract,abbreviations,funding,keywords,year
0,,,[],,,,,2000
1,,,[],,,,,2000
2,,,[],,,,,2000
3,,,[],,,,,2000
4,,,[],,,,,2000
5,,,[],,,,,2000
6,,,[],,,,,2000
7,,,[],,,,,2000
8,,,[],,,,,2000
9,,,[],,,,,2000
10,,,[],"
 . Our laboratory has previously prepared gelatin/methotrexate (MTX) conjugates containing mixed conjugation sites and by-product crosslinking, both of which may alter conjugate effectiveness. In this study, we prepared and evaluated gelatin/MTX conjugates having specific conjugate bond sites and minimal by-product crosslinking. 
 . Opposite polarity conjugates were produced by coupling gelatin having blocked amino groups with MTX (G-MTX) and by coupling MTX having blocked amino groups with gelatin (M-GEL) using 1-ethyl-3-(3-dimethylaminopropyl) carbodiimide HCl. Amino groups were blocked using citraconic anhydride and deblocked under acidic conditions. Gelatin and MTX contents were determined spectrophotometrically. The stability of each conjugate was determined by evaluating their   release of MTX in isotonic buffer at pH 7.4 and 37°C for 7 days. 
 . The G-MTX and M-GEL conjugates contained 21 and 1.2 mole MTX/mole gelatin and released 12 and 17% MTX by 7 days resulting in pseudo-first order release rate constants of 0.76×10  and 1.0×10  hr , respectively. Alternate MTX species (≤ 10%) were detected during the release study and were attributed to low molecular weight gelatin/MTX fragments and MTX polymers. 
 . Gelatin/MTX conjugates having opposite conjugate bond polarities and minimal by-product crosslinking have been produced and slowly released MTX by hydrolytic cleavage indicating good stability for future cell culture studies.",,,,2000
11,,,[],"
 . To study the miscibility of proteins and polymer excipients in frozen solutions and freeze-dried solids as protein formulation models. 
 . Thermal profiles of frozen solutions and freeze-dried solids containing various proteins (lysozyme, ovalbumin, BSA), nonionic polymers (Ficoll, polyvinylpyrrolidone [PVP]), and salts were analyzed by differential scanning calorimetry (DSC). The polymer miscibility was determined from the glass transition temperature of maximally freeze-concentrated solute (T ′) and the glass transition temperature of freeze-dried solid (T ). 
 . Frozen Ficoll or PVP 40k solutions showed T ′ at −22°C, while protein solutions did not show an apparent T ′. All the protein and nonionic polymer combinations (5% w/w, each) were miscible in frozen solutions and presented single T ′s that rose with increases in the protein ratio. Various salts concentration-dependently lowered the single T ′s of the proteins and Ficoll combinations maintaining the mixed amorphous phase. In contrast, some salts induced the separation of the proteins and PVP combinations into protein-rich and PVP-rich phases among ice crystals. The T ′s of these polymer combinations were jump-shifted to PVP's intrinsic T ′ at certain salt concentrations. Freeze-dried solids showed varied polymer miscibilities identical to those in frozen solutions. 
 . Freeze-concentration separates some combinations of proteins and nonionic polymers into different amorphous phases in a frozen solution. Controlling the polymer miscibility is important in designing protein formulations.",,,,2000
12,,,[],"
 . The purpose of this work was to obtain a sterilized formulation consisting of biodegradable microspheres of poly (DL-lactide-co-glycolide) (PLGA) for intraocular sustained release of ganciclovir. 
 . Microspheres were prepared using a dispersion of ganciclovir in fluorosilicone oil (FSiO) that was further dispersed in an acetone solution of PLGA [50/50 and inherent viscosity 0.41 dl/g], and emulsified in silicone oil with a surfactant. Once prepared, the formulation was exposed with an effective γ radiation dose of 2.5 megarads. The release rate data of ganciclovir from the sterilized and nonsterilized batches were compared using the similarity factor (f ). 
 . The dispersion of the drug in FSiO contributed to achieving a drug payload of up to 95% of the theoretical in the 300-500 μm microspheres. Ten mg released ganciclovir  at 1.3 μg/h for the first 21 days, but decreased to ∼ 0.2 μg/h from day 25 until the end of the release study (42 days). No significant differences in the amounts of encapsulated drug (α=0.05) were observed between the sterilized and nonsterilized microspheres. Furthermore, dissolution profiles of formulations behaved similarly before and after gamma radiation exposure. 
 . The technique of microsphere preparation described resulted in high ganciclovir loading (95%) and prolonged drug release. The ganciclovir formulation behaved similarly before and after the sterilization process.",,,,2000
13,,,[],,,,,2000
14,,,[],,,,,2000
15,,,[],"
 . To quantitatively compare   dissolution data in biorelevant and compendial media, to investigate whether   differences are reflected in the simulated plasma profile and to specify under which circumstances prediction of the plasma profile of orally administered lipophilic drugs can be achieved. 
 . Previously published dissolution data from seven products of four lipophilic drugs were compared using the first order model, the RRSBW distribution, and a model based on the Noyes-Whitney theory. Simulated plasma profiles were then obtained using a model-dependent approach. Simulated and observed plasma profiles were compared with the difference factor,  
 . 
 . No model consistently provided the best fit to the  data, which varied significantly with medium composition. Prediction of the plasma profile was possible (9.6 ≤  
 ≤ 34.2) in seven out of eleven cases. 
 . Although prediction of the plasma profile of lipophilic drugs solely on the basis of   data remains an ambitious target, this study shows that the plasma profile of a lipophilic drug can be predicted with appropriate   dissolution data, provided that the absolute bioavailability of the drug is known and the drug has dissolution limited absorption.",,,,2001
