,period,num_topics,perplexity,coherence_u
0,2000.0,3.0,-12.046378025421344,-9.777454301043123
1,2000.0,4.0,-12.578397966195709,-16.215778824157017
2,2000.0,5.0,-13.078993516227106,-17.797014364979223
3,2000.0,6.0,-13.55244102125778,-18.164353959619856
4,2000.0,7.0,-14.02118726715598,-19.398152369916538
5,2000.0,8.0,-14.467677122162348,-19.52639734698553
6,2000.0,9.0,-14.885373161036894,-18.884714896199345
7,2000.0,10.0,-15.296805417260819,-19.273128596899205
8,2000.0,11.0,-15.684081482272871,-20.05990147940898
9,2000.0,12.0,-16.111155466696463,-19.92347376795509
10,2000.0,13.0,-16.487764011344762,-19.39882378315595
11,2000.0,14.0,-16.856075694125018,-19.354189411181782
12,2001.0,4.0,-12.423026614364927,-12.652999786897816
13,2001.0,5.0,-12.910961618725832,-15.582639627051709
14,2001.0,6.0,-13.365059218396214,-18.340432580251377
15,2001.0,7.0,-13.800313419270601,-18.381956170331563
16,2001.0,8.0,-14.21530635084368,-19.079271309995722
17,2001.0,9.0,-14.636346745425456,-19.467012629449282
18,2001.0,10.0,-15.053107904577551,-19.532038896916482
19,2001.0,11.0,-15.443679931657172,-19.6138793525966
20,2001.0,12.0,-15.83099334651372,-20.021588194028258
21,2001.0,13.0,-16.18839297613951,-20.050905970677903
22,2001.0,14.0,-16.607546258404593,-19.704703480557733
23,2001.0,15.0,-16.96076437582294,-20.048334564518942
24,2002.0,4.0,-12.400143100830462,-12.042619532824315
25,2002.0,5.0,-12.860810285236855,-13.404621417378593
26,2002.0,6.0,-13.320791023047349,-15.923776924004068
27,2002.0,7.0,-13.771581848248266,-17.781383301594214
28,2002.0,8.0,-14.199535570251653,-18.184499753420567
29,2002.0,9.0,-14.614597109131891,-17.759609460020382
30,2002.0,10.0,-15.029704952567528,-18.858215247474682
31,2002.0,11.0,-15.370528868399658,-18.590596034465932
32,2002.0,12.0,-15.752756687276069,-19.03593584112967
33,2002.0,13.0,-16.06726918994474,-18.984732980010428
34,2002.0,14.0,-16.54542619030113,-18.60780851328738
35,2002.0,15.0,-16.834289615347046,-18.774623965218385
36,2003.0,4.0,-12.329850399925048,-9.801083192193797
37,2003.0,5.0,-12.794163700680995,-13.127300639485949
38,2003.0,6.0,-13.257811445364556,-15.355982425200866
39,2003.0,7.0,-13.678302493514973,-15.642396040739943
40,2003.0,8.0,-14.102017418759461,-16.930332737824322
41,2003.0,9.0,-14.515262625034337,-16.80761388895449
42,2003.0,10.0,-14.925747515254951,-17.985402908994608
43,2003.0,11.0,-15.304787244069626,-18.035575712821547
44,2003.0,12.0,-15.679224355104173,-18.103740139584342
45,2003.0,13.0,-16.023798707384113,-18.250956725890408
46,2003.0,14.0,-16.430990280587487,-18.36227264444312
47,2003.0,15.0,-16.740798030500535,-18.95071412734865
48,2003.0,16.0,-17.15823878472294,-18.78624642927057
