,period,num_topics,perplexity,coherence_u
0,all,75,-39.01834662559171,-10.492264595078778
1,all,85,-65.83497382300558,-7.540535566436911
2,all,95,-117.39255111504129,-9.702551341358053
3,all,100,-128.04960233517477,-10.993290563198405
4,all,110,-221.6138500792262,-12.253643737346792
5,all,115,-224.55164584731057,-12.266353250994428
6,all,120,-241.4528656005947,-12.353234425757357
7,all,150,-301.0119628906371,-12.353234425757353
8,all,170,-340.764221191419,-12.353234425757353
9,all,200,-400.441284179703,-12.353234425757355
10,all,250,-499.99719238283353,-12.353234425757355
11,all,300,-599.6344604492405,-12.353234425757352
