,terms,importance,period,topic
0,peo,0.05255487430629663,2005,0
1,oatp,0.0335810924780108,2005,0
2,subset,0.02554939766945663,2005,0
3,fluconazole,0.022826715958574453,2005,0
4,focusing,0.014925768567658046,2005,0
5,already,0.013475719617679792,2005,0
6,synergism,0.011163612333582585,2005,0
7,oatps,0.009191116432674794,2005,0
8,accordingly,0.008938811578467105,2005,0
9,oatp2b1,0.008071830184385138,2005,0
10,tyloxapol,0.007910894688714478,2005,0
11,amcns,0.0077567488948537214,2005,0
12,vaginal,0.007383256200108012,2005,0
13,119,0.007208895701392341,2005,0
14,nih/3t3,0.006838295668042453,2005,0
15,anion,0.006296876719314289,2005,0
16,denote,0.006296735265279563,2005,0
17,11.7,0.006086093315271571,2005,0
18,genital,0.0059292619436359115,2005,0
19,spherulites,0.0058029305153089695,2005,0
20,peo,0.05274265580125806,2006,0
21,oatp,0.03369007650516575,2006,0
22,subset,0.025627207909101047,2006,0
23,fluconazole,0.022894353413131164,2006,0
24,focusing,0.01496535880942169,2006,0
25,already,0.013510456936562056,2006,0
26,synergism,0.0111908537240868,2006,0
27,oatps,0.009212238655764501,2006,0
28,accordingly,0.00895917216322682,2006,0
29,oatp2b1,0.008089614247198382,2006,0
30,tyloxapol,0.007928207764486416,2006,0
31,amcns,0.0077736130981020425,2006,0
32,vaginal,0.007399042171234557,2006,0
33,119,0.00722418300183358,2006,0
34,nih/3t3,0.006852533391202935,2006,0
35,anion,0.006309607726823625,2006,0
36,denote,0.006309465883461113,2006,0
37,11.7,0.006098246784556304,2006,0
38,genital,0.005940989154098835,2006,0
39,spherulites,0.0058143165657602545,2006,0
40,peo,0.05288005905458395,2007,0
41,oatp,0.033769796533281486,2007,0
42,subset,0.025684113420660362,2007,0
43,fluconazole,0.022943815050351913,2007,0
44,focusing,0.014994300859123795,2007,0
45,already,0.013535849285051707,2007,0
46,synergism,0.011210763718936116,2007,0
47,oatps,0.009227673882785246,2007,0
48,accordingly,0.008974050475975999,2007,0
49,oatp2b1,0.008102608686566632,2007,0
50,tyloxapol,0.007940857849450146,2007,0
51,amcns,0.007785935002479865,2007,0
52,vaginal,0.0074105757777568676,2007,0
53,119,0.007235352039783829,2007,0
54,nih/3t3,0.006862935126646771,2007,0
55,anion,0.0063189080241770074,2007,0
56,denote,0.006318765896218026,2007,0
57,11.7,0.006107124910424127,2007,0
58,genital,0.0059495556989963595,2007,0
59,spherulites,0.005822633738918485,2007,0
60,peo,0.05298055080734582,2008,0
61,oatp,0.033828089292040626,2008,0
62,subset,0.025725718773449733,2008,0
63,fluconazole,0.022979976172680477,2008,0
64,focusing,0.015015456313640527,2008,0
65,already,0.013554409234222077,2008,0
66,synergism,0.01122531529279495,2008,0
67,oatps,0.009238954059699144,2008,0
68,accordingly,0.008984923527818888,2008,0
69,oatp2b1,0.008112104597823458,2008,0
70,tyloxapol,0.007950102039595766,2008,0
71,amcns,0.0077949392967098805,2008,0
72,vaginal,0.007419003845298551,2008,0
73,119,0.007243513621081553,2008,0
74,nih/3t3,0.00687053584794555,2008,0
75,anion,0.0063257036742155465,2008,0
76,denote,0.006325561338241288,2008,0
77,11.7,0.00611361199224153,2008,0
78,genital,0.005955815047211366,2008,0
79,spherulites,0.0058287108241023705,2008,0
80,peo,0.05305401313793756,2009,0
81,oatp,0.033870698431852454,2009,0
82,subset,0.02575612841078142,2009,0
83,fluconazole,0.023006405962006843,2009,0
84,focusing,0.015030917365630973,2009,0
85,already,0.013567973177877233,2009,0
86,synergism,0.011235949535353862,2009,0
87,oatps,0.009247197364400253,2009,0
88,accordingly,0.008992869288487039,2009,0
89,oatp2b1,0.008119043901200282,2009,0
90,tyloxapol,0.00795685737990657,2009,0
91,amcns,0.007801519316832219,2009,0
92,vaginal,0.00742516275192979,2009,0
93,119,0.007249477777886023,2009,0
94,nih/3t3,0.006876090128108371,2009,0
95,anion,0.006330669616507589,2009,0
96,denote,0.006330527128519233,2009,0
97,11.7,0.006118352438802975,2009,0
98,genital,0.005960389071463296,2009,0
99,spherulites,0.005833151655507539,2009,0
100,peo,0.05310764109853496,2010,0
101,oatp,0.03390179959992481,2010,0
102,subset,0.02577832327612702,2010,0
103,fluconazole,0.023025695479797444,2010,0
104,focusing,0.015042200103913873,2010,0
105,already,0.013577871205066469,2010,0
106,synergism,0.0112437092424209,2010,0
107,oatps,0.009253212077870655,2010,0
108,accordingly,0.00899866685072579,2010,0
109,oatp2b1,0.008124106952494365,2010,0
110,tyloxapol,0.00796178617769751,2010,0
111,amcns,0.007806320169315296,2010,0
112,vaginal,0.00742965628699127,2010,0
113,119,0.0072538291912585505,2010,0
114,nih/3t3,0.006880142431077413,2010,0
115,anion,0.006334292584356977,2010,0
116,denote,0.006334149985438879,2010,0
117,11.7,0.006121810855761043,2010,0
118,genital,0.0059637260462559695,2010,0
119,spherulites,0.0058363914371367485,2010,0
120,peo,0.05314675598291862,2011,0
121,oatp,0.033924482428070044,2011,0
122,subset,0.025794509853014458,2011,0
123,fluconazole,0.023039762968498384,2011,0
124,focusing,0.015050427890388298,2011,0
125,already,0.01358508910638001,2011,0
126,synergism,0.01124936767934526,2011,0
127,oatps,0.009257597940413802,2011,0
128,accordingly,0.009002894353948463,2011,0
129,oatp2b1,0.00812779881303188,2011,0
130,tyloxapol,0.00796538013472865,2011,0
131,amcns,0.007809820823345408,2011,0
132,vaginal,0.007432932833684893,2011,0
133,119,0.007257002098113252,2011,0
134,nih/3t3,0.006883097218035385,2011,0
135,anion,0.0063369342911144926,2011,0
136,denote,0.006336791611304625,2011,0
137,11.7,0.006124332569650115,2011,0
138,genital,0.005966159203192509,2011,0
139,spherulites,0.0058387537200199945,2011,0
140,peo,0.05317520146028725,2012,0
141,oatp,0.033940975114092685,2012,0
142,subset,0.025806277693123224,2012,0
143,fluconazole,0.023049989662187974,2012,0
144,focusing,0.015056407948081342,2012,0
145,already,0.01359033485571231,2012,0
146,synergism,0.011253479578104568,2012,0
147,oatps,0.009260784658127998,2012,0
148,accordingly,0.009005965948161773,2012,0
149,oatp2b1,0.008130481019625489,2012,0
150,tyloxapol,0.007967991172144069,2012,0
151,amcns,0.0078123640365117455,2012,0
152,vaginal,0.00743531314053436,2012,0
153,119,0.007259307069336714,2012,0
154,nih/3t3,0.006885243641410038,2012,0
155,anion,0.006338853149636028,2012,0
156,denote,0.006338710411030659,2012,0
157,11.7,0.0061261642131791826,2012,0
158,genital,0.005967926481519581,2012,0
159,spherulites,0.005840469486164595,2012,0
160,peo,0.053195802326349156,2013,0
161,oatp,0.03395291603032129,2013,0
162,subset,0.025814796028581437,2013,0
163,fluconazole,0.023057391742727668,2013,0
164,focusing,0.0150607346385866,2013,0
165,already,0.013594129858728638,2013,0
166,synergism,0.011256453679974347,2013,0
167,oatps,0.009263089028833786,2013,0
168,accordingly,0.009008186989369647,2013,0
169,oatp2b1,0.00813242022630568,2013,0
170,tyloxapol,0.00796987887002285,2013,0
171,amcns,0.007814202647321493,2013,0
172,vaginal,0.007437033853153968,2013,0
173,119,0.007260973261990094,2013,0
174,nih/3t3,0.006886795097794933,2013,0
175,anion,0.006340239934390464,2013,0
176,denote,0.006340097153240872,2013,0
177,11.7,0.006127487890478562,2013,0
178,genital,0.0059692035864804755,2013,0
179,spherulites,0.005841709319636292,2013,0
180,peo,0.05321064442134532,2014,0
181,oatp,0.03396151661760763,2014,0
182,subset,0.02582093027415622,2014,0
183,fluconazole,0.023062721686032423,2014,0
184,focusing,0.015063848960255612,2014,0
185,already,0.013596861197876706,2014,0
186,synergism,0.011258593767024247,2014,0
187,oatps,0.009264746808233365,2014,0
188,accordingly,0.009009784764067946,2014,0
189,oatp2b1,0.008133815065025843,2014,0
190,tyloxapol,0.007971236621481713,2014,0
191,amcns,0.007815525055783744,2014,0
192,vaginal,0.007438271376589661,2014,0
193,119,0.00726217153303501,2014,0
194,nih/3t3,0.00688791076559738,2014,0
195,anion,0.006341237055473358,2014,0
196,denote,0.0063410942436974305,2014,0
197,11.7,0.006128439583065576,2014,0
198,genital,0.005970121754464037,2014,0
199,spherulites,0.0058426006587331105,2014,0
200,peo,0.05322114385556402,2015,0
201,oatp,0.03396759395599615,2015,0
202,subset,0.025825261385581378,2015,0
203,fluconazole,0.023066483559056005,2015,0
204,focusing,0.015066043619083891,2015,0
205,already,0.013598785138581376,2015,0
206,synergism,0.011260099930172858,2015,0
207,oatps,0.009265912361242218,2015,0
208,accordingly,0.009010907956160248,2015,0
209,oatp2b1,0.008134795022077831,2015,0
210,tyloxapol,0.007972190407221143,2015,0
211,amcns,0.007816453902769532,2015,0
212,vaginal,0.007439140334015471,2015,0
213,119,0.007263012800001488,2015,0
214,nih/3t3,0.006888693768343134,2015,0
215,anion,0.006341936461914725,2015,0
216,denote,0.006341793628545252,2015,0
217,11.7,0.006129106961561705,2015,0
218,genital,0.005970765500249377,2015,0
219,spherulites,0.005843225493639291,2015,0
220,peo,0.05322849220402503,2016,0
221,oatp,0.033971846431852186,2016,0
222,subset,0.025828291506911665,2016,0
223,fluconazole,0.023069115246485535,2016,0
224,focusing,0.015067578468593593,2016,0
225,already,0.013600130547373766,2016,0
226,synergism,0.01126115301225338,2016,0
227,oatps,0.009266727137771073,2016,0
228,accordingly,0.009011693097208846,2016,0
229,oatp2b1,0.008135479960668901,2016,0
230,tyloxapol,0.007972857037969946,2016,0
231,amcns,0.007817103088128247,2016,0
232,vaginal,0.007439747625833368,2016,0
233,119,0.007263600722461981,2016,0
234,nih/3t3,0.0068892409363115435,2016,0
235,anion,0.006342425158983858,2016,0
236,denote,0.006342282310511385,2016,0
237,11.7,0.0061295732578593035,2016,0
238,genital,0.005971215267889528,2016,0
239,spherulites,0.005843662035300047,2016,0
240,peo,0.053233436268112146,2017,0
241,oatp,0.033974707064859284,2017,0
242,subset,0.02583032961690101,2017,0
243,fluconazole,0.02307088526652909,2017,0
244,focusing,0.015068610534272756,2017,0
245,already,0.013601035170252114,2017,0
246,synergism,0.01126186098911015,2017,0
247,oatps,0.009267274821666956,2017,0
248,accordingly,0.00901222084827471,2017,0
249,oatp2b1,0.00813594031765669,2017,0
